user,date,text,latitude,longitude;
cpnsindonesiaid,Sat Aug 10 23:51:39 +0000 2019,b'Iduladha merupakan momentum menjalin silatutahmi melalui berbagi hewan kurban dengan sesama. \nSelamat Hari Raya Idu? https://t.co/0oJPhGBKL6',-6.1803,106.8233;
babe_ndut2003,Sat Aug 10 23:46:12 +0000 2019,b'Selamat Hari Raya Idul Adha utk teman2 semuanya.. InsyaAllah keberkahan Idul Qurban utk Kita semuanya..Aamiin Ya Ro? https://t.co/NGGVrbnVxt',-6.1803,106.8233;
ArieGFBLC,Sat Aug 10 23:40:45 +0000 2019,b'JUAL BRA TANK TOP CROP KEMBEN RAJUT MODEL TERBARU \n\n*buy 4 get free 1\n\nTube bra \n\nReady 4 warna :\nPink\nHitam\nPutih? https://t.co/Tc5xy1r3Dl',-6.1803,106.8233;
tickariska,Sat Aug 10 23:34:23 +0000 2019,b'Sholat ied idul adha white mom tersayang...\nSelamat hari raya idul adha ticka dan klrga mengucapkan mohon maaf lahi? https://t.co/lBQsCEcrCa',-6.1803,106.8233;
Sudinsihju,Sat Aug 10 23:32:34 +0000 2019,b'Selamat Hari Raya \nIdul Adha 1440 Hijriah/\n11 Agustus 2019\n\nMohon Maaf Lahir dan Bathin\n\nBerkurban Sekaligus Merawa? https://t.co/qKtBIa0RN8',-6.1803,106.8233;
nugrahahimawan,Sat Aug 10 23:31:31 +0000 2019,b'Selamat Idul Adha semua...\n\n#sedinasefoto #jakarta #iduladha #qurban #perasaan #doang #street #urban #travel #ied? https://t.co/6SLXCmtwbD',-6.1803,106.8233;
"enggo_saviour,Sat Aug 10 23:17:49 +0000 2019,""b'Iduladha (Idul Adha), disebut?pula?Idul Qurban atau Lebaran Haji, merupakan salah satu hari besar yang dirayakan um? https://t.co/dv8zmfmNIW'"",-6.1803,106.8233";
"dear4lf1,Sat Aug 10 23:16:42 +0000 2019,""b'Eid Al-Adha Mubarak @ Jakarta, Indonesia https://t.co/TmMOPIqo85'"",-6.1803,106.8233";
"Rekost_id,Sat Aug 10 23:11:20 +0000 2019,""b'Selamat Hari Raya Idul Adha 1440 Hijriah \n\n""""Semangatmu dalam berkurban, harapanmu akan ampunan, dan keteguhanmu dal? https://t.co/QwKZPhyzSx'"",-6.1803,106.8233";
"renanggunhk,Sat Aug 10 23:10:06 +0000 2019,""b'""""Selamat Hari Raya Idul Adha, Mohon Maaf Lahir dan Bathin."""" \n??? @ Jakarta, Indonesia https://t.co/o1nc0SXYC2'"",-6.1803,106.8233";
"vinabudiyanto,Sat Aug 10 23:04:31 +0000 2019,""b'Dear All,\nSelamat Hari Idul Adha 1440 H ???\n#iduladha2019 #lebaran @ Jakarta, Indonesia https://t.co/YEH0tAnOKM'"",-6.1803,106.8233";
"halal_center,Sat Aug 10 22:49:27 +0000 2019,""b'Have a blessed Eid everyone!\n#halalisforeveryone #halallifestyle #halaleconomyengine @ Jakarta, Indonesia https://t.co/8HUwU0TEmW'"",-6.1803,106.8233";
"pancapetir,Sat Aug 10 22:27:26 +0000 2019,""b'KARMA INSTANT ??? @ Jakarta, Indonesia https://t.co/M9AKxMG5N1'"",-6.1803,106.8233";
ZaidZaidel,Sat Aug 10 22:27:16 +0000 2019,b'Selamat Menyambut Hari Raya Aidil Adha 1440 H. Semoga falsafah Aidil Adha sentiasa menjadi pegangan kita semua untu? https://t.co/8eOh5kpW9E',-6.1803,106.8233;
bandotdm,Sat Aug 10 22:23:22 +0000 2019,b'Ibu dari segenap amal adalah ikhlas\nPangkal dari seluruh amal adalah niat\nTubuh dari amal adalah ilmu\n\nNiatkanlah a? https://t.co/r7EjZ2P6mS',-6.1803,106.8233;
"pancapetir,Sat Aug 10 22:07:13 +0000 2019,""b'KuCoba Nikmati - MahaMaya\nArr. @coy_rk  """"KLIK LINK DI BIO"""" @ Jakarta, Indonesia https://t.co/7pLSFI1knb'"",-6.1803,106.8233";
Daiesuke22,Sat Aug 10 22:03:04 +0000 2019,b'Pelangi\n\nDi langit saat pelangi membentang \n\nAkan turun sang hujan\n\nSaat sang hujan turun\n\nDia membasahi setiap hal? https://t.co/YVEIWg4paa',-6.1803,106.8233;
rulyferdian,Sat Aug 10 21:59:25 +0000 2019,b'Open Po Durian Kupas Sumatra dari Durian SABAR dengan kualitas terjamin manis dan legit......order 085210845635? https://t.co/Nb8a6wb4Vr',-6.1803,106.8233;
rulyferdian,Sat Aug 10 21:58:10 +0000 2019,b'Open Po Durian Kupas Sumatra dari Durian SABAR dengan kualitas terjamin manis dan legit......order 085210845635? https://t.co/3CHRxsNaLw',-6.1803,106.8233;
"Papa_Cahyo,Sat Aug 10 21:54:08 +0000 2019,""b'Jumat Barokah, 2 Agustus 2019\n\nSenam Bersama di halaman Kantor Camat Cilincing. \n\n#SemtimSemangatJuara? https://t.co/XozJx8cZEj'"",-6.1803,106.8233";
Papa_Cahyo,Sat Aug 10 21:52:30 +0000 2019,b'Semangat Pagi di Kamis siang 1 Agustus 2019\n\nSilaturahmi teman teman PPSU dan UPK Badan Air di Cakung Drain perbata? https://t.co/wsGfqQqkBq',-6.1803,106.8233;
"Papa_Cahyo,Sat Aug 10 21:49:03 +0000 2019,""b'Semangat Pagi di hari Kamis, 1 Agustus 2019\n\nMenghadiri Launching Proper Peningkatan Mutu Pelayanan dengan Bantuan? https://t.co/eubPYWFuD2'"",-6.1803,106.8233";
"Papa_Cahyo,Sat Aug 10 21:44:52 +0000 2019,""b'semangat pagi di Jumat Barokah, 2 Agustus 2019,\n\nsilaturahmi dengan LMK,  FKDM dan Para Ketua RW  membahas rencana? https://t.co/2qPKuxf9ha'"",-6.1803,106.8233";
"Papa_Cahyo,Sat Aug 10 21:16:04 +0000 2019,""b'Semangat Pagi di sepanjang hari, Selasa, 6 Agustus 2019\n\nTutorial Offline Diklat Teknis Pemerintahan Kecamatan dan? https://t.co/PRdlBxukFA'"",-6.1803,106.8233";
"Papa_Cahyo,Sat Aug 10 21:12:02 +0000 2019,""b'Wonderful Wednesday, 7 Agustus 2019\n\nbersama adik adik Karang Taruna Kelurahan Semper Timur menghadiri pemyerahan B? https://t.co/yBfv6NshJx'"",-6.1803,106.8233";
"winnariyanti,Sat Aug 10 21:10:46 +0000 2019,""b'Baru saja mengirim foto @ Jakarta, Indonesia https://t.co/yHQwxBRyR9'"",-6.1803,106.8233";
"Papa_Cahyo,Sat Aug 10 20:56:48 +0000 2019,""b'Jumat Barokah, 9 Agustus 2019\n\nUjian Gladi Posko Diklat Teknis Pemerintahan Kecamatan dan Kelurahan serta Estate Ma? https://t.co/vN4ssLaUef'"",-6.1803,106.8233";
b460st,Sat Aug 10 20:29:24 +0000 2019,b'Selamat Hari Raya Idul Adha #iduladha #ieduladha #ied #iedaladha #mubarak #agustus #august #2019 #indonesia @ Jakar? https://t.co/GaU0x48WL4',-6.1803,106.8233;
b460st,Sat Aug 10 20:29:24 +0000 2019,b'Selamat Hari Raya Idul Adha #iduladha #ieduladha #ied #iedaladha #mubarak #agustus #august #2019 #indonesia @ Jakar? https://t.co/GaU0x48WL4',-6.1803,106.8233;
AlamDewataBand,Sat Aug 10 20:28:39 +0000 2019,b'Matur Suksma KPSHD Banjar Jakarta Timur &amp; Timpal2 ADB @ Pura Aditya Jaya https://t.co/oSlWTComQw',-6.18441906,106.81967846
"AlamDewataBand,Sat Aug 10 20:23:00 +0000 2019,""b'#Repost @pande_lebih (get_repost)\n???\nKangen Bali, aku mencoba mempopulerkannya beberapa tahun silam. Mempopulerkan? https://t.co/r2QX10JM5M'"",-6.18441906,106.81967846";
"Papa_Cahyo,Sat Aug 10 20:14:13 +0000 2019,""b'Jumat Barokah, 9 Agustus 2019\n\nmenghadiri undangan Pisah Sambut Kapolsek Cilincing dari Kompol Sarwono SH MM kepada? https://t.co/ca92M6PqON'"",-6.1803,106.8233";
"ikkamarcilyaa,Sat Aug 10 19:23:00 +0000 2019,""b'There is never any reason for us why we are laughing at our selves all night long ???? @ Jakarta, Indonesia https://t.co/see1U6JsDU'"",-6.1803,106.8233";
zackylicious83,Sat Aug 10 19:17:23 +0000 2019,b'#AlexanderWang Fall 2019\n#Campaign\n\n#Model : #AnnaEwers\n\n#Photographer : #\n\n#campaign #adscampaign \n#instagood? https://t.co/RBE4pm4CM7',-6.1803,106.8233;
"pancapetir,Sat Aug 10 19:10:12 +0000 2019,""b'KLIK LINK DI BIO @ Jakarta, Indonesia https://t.co/muXsCNbxuf'"",-6.1803,106.8233";
zackylicious83,Sat Aug 10 18:58:28 +0000 2019,b'#MarcJacobs Fall 2019\n#Campaign\n\n#Model : #ChristyTurlington\n\n#Photographer : #StevenMeisel\n\n#campaign #adscampaign? https://t.co/7jRNDQVlKr',-6.1803,106.8233;
manurungbutet,Sat Aug 10 18:33:42 +0000 2019,b'Tukar pinjam buku anak yuk??\n.\nHari ini kami semua ke Perpustakaan Nasional Republik Indonesia di jalan Merdeka Sel? https://t.co/XRyVc1mWIR',-6.1813585,106.8269287;
"28fikri10,Sat Aug 10 18:25:47 +0000 2019,""b'Togetherness with my lovely grandson &amp";" granddaughter...???\n#grandson #granddaughter #lovely #grandpa @ Jakarta, Ind? https://t.co/vGpYnRRyvr'"",-6.1803,106.8233"
