user,date,text,latitude,longitude
frikarashi,Sat Aug 10 08:54:10 +0000 2019,b'Ngabuburitnya ngoprek si Eta. Akhirnya bisa diganti matanya pake tali. Wkkwkwk. Klo face up ya yah masih sangat sed? https://t.co/tW5e1Y1PLH',-6.1803,106.8233
"bakrijakarta,Sat Aug 10 08:48:13 +0000 2019, b'Semangat ya Bakri\nRaihlah terus cita2mu\nMeskipun banyak yang mencibir kepadamu @ Jakarta, Indonesia https://t.co/p17NhEEvWk' ,-6.1803,106.8233",,,,
"Rifs_,Sat Aug 10 08:47:39 +0000 2019, b'Monas, 10 Agustus 2019\n\n#jakarta \n#monas \n#monumennasional \n#monumennasionaljakarta @ National Monument https://t.co/uxVYv5o2fo' ,-6.17540278,106.82711389",,,,
MChvl,Sat Aug 10 08:45:01 +0000 2019,b'The art of my life ? @ Kunstkring Art Gallery https://t.co/w1FMkUuEI3',-6.188898,106.833497
zackylicious83,Sat Aug 10 08:44:33 +0000 2019,b'#Blumarine Fall 2019\n#Campaign\n\n#Model : #HannahFerguson\n\n#Photographer :\n#campaign #adscampaign \n#instagood? https://t.co/jfZzB3B9SP',-6.1803,106.8233
"ZDMR_TV,Sat Aug 10 08:42:13 +0000 2019, b'#jakarta #indonesia #2side @ Jakarta, Indonesia https://t.co/GVAeJeYFuk' ,-6.1803,106.8233",,,,
"vikasism,Sat Aug 10 08:41:48 +0000 2019, b'The original   #PPU   model ; )\n\nRice is the mandatory framework of the interaction", and you are free to add other opt? https://t.co/Y4RngaeiEd'  ,-6.1803,106.8233,
"RyanMaulanaR,Sat Aug 10 08:38:32 +0000 2019, b'|| Hahaha, ngakak deh, masa pedagang2nya gak ada yang kenal sama CEO-nya @GOPAY_ID deh.. \n?\nMungkin Babang Aldi kud? https://t.co/hIZidl5x9Z' ,-6.1803,106.8233",,,,
"RyanMaulanaR,Sat Aug 10 08:38:32 +0000 2019, b'|| Hahaha, ngakak deh, masa pedagang2nya gak ada yang kenal sama CEO-nya @GOPAY_ID deh.. \n?\nMungkin Babang Aldi kud? https://t.co/hIZidl5x9Z' ,-6.1803,106.8233",,,,
"boydoangdeh,Sat Aug 10 08:15:40 +0000 2019, b'.\nMampir ke nubruk kopi nusantara bersama lokayakopi @ Sarinah, Thamrin, Jakarta Pusat https://t.co/35t0l0L4AW' ,-6.1874929,106.82364922",,,,
