user,date,text,latitude,longitude;;
fuckaholic,Sat Aug 10 17:54:06 +0000 2019,b'Happy Birthday Madu..!\nLoveYouFull..!! ?\n.\n.\n#birthday #happybirthday #mother #mom #ibu #love #family #familia @ Ja? https://t.co/wKjrMGxQME',-6.1803,106.8233;;
"IRWAN_LAWYER,Sat Aug 10 17:50:35 +0000 2019,""b'Baru saja mengirim foto @ Jakarta, Indonesia https://t.co/Cypgh4mmZI'"",-6.1803,106.8233";;
"adjedafta,Sat Aug 10 17:47:31 +0000 2019,""b""""Don't tell our dreams to others, just show them!! Thankyou for believing each other, Mate. ?? @ Jakarta, Indonesia https://t.co/xZjUHf82Uk"""""",-6.1803,106.8233";;
"KodNang,Sat Aug 10 17:29:31 +0000 2019,""b'Belajar dari kisah Ismail yang rela disembelih\n\nDan Ibrahim yang ikhlas menyembelih\n\nAtas nama Allah, tiada cinta y? https://t.co/ZkiIRQNBXP'"",-6.1803,106.8233";;
"mubarik63,Sat Aug 10 17:09:24 +0000 2019,""b'Mampir dulu ah...qt with family, alhamdulillah @ Upnormal Sabang https://t.co/X96IYrRq6c'"",-6.187403,106.8266094";;
"JakPasarRebo,Sat Aug 10 17:07:59 +0000 2019,""b'Apa yang membuatmu Seperti ini ? Apa kurang dukungan dari Kami ?\n\nSegitu susahnya The Jakmania untuk membeli Tiket,? https://t.co/H9U6Oc02nH'"",-6.1803,106.8233";;
"Destabillizers,Sat Aug 10 17:07:47 +0000 2019,""b'- Deal Aje - ???\n?1 Pasang Koi Galaxy\n?Male &amp";" Female\n?SIAP u/ di BREEDING\n?Size M + \n?100K\n?FREE,............????\n?? https://t.co/kEevpK4Slq'"",-6.1803,106.8233";
"Destabillizers,Sat Aug 10 17:04:51 +0000 2019,""b'- Deal Aje - ???\n?1 Pasang Koi Galaxy\n?Male &amp";" Female\n?SIAP u/ di BREEDING\n?Size M + \n?100K\n?FREE,............????\n?? https://t.co/5SbBbcj0Cg'"",-6.1803,106.8233";
"Destabillizers,Sat Aug 10 17:03:45 +0000 2019,""b'- Deal Aje - ???\n?1 Pasang Koi Galaxy\n?Male &amp";" Female\n?SIAP u/ di BREEDING\n?Size M + \n?100K\n?FREE,............????\n?? https://t.co/BFDYzBPPIM'"",-6.1803,106.8233";
"xwhiiiiiiin,Sat Aug 10 16:58:52 +0000 2019,""b'Happy ... ? siwonchoi @tiket @gudlive #choisiwonperfectdateinjkt @ Jakarta, Indonesia https://t.co/7uqqYFSeSg'"",-6.1803,106.8233";;
doniprihanto98,Sat Aug 10 16:58:07 +0000 2019,b'? Happy First Anniversary ?\n.\n.\nACE Hardware TB. Simatupang\n.\n.\n080818\n.\n.\nDimana yang bersamaan bertepatan hari ul? https://t.co/jPsULZKnpr',-6.1803,106.8233;;
"Destabillizers,Sat Aug 10 16:57:55 +0000 2019,""b'- Deal Aje - ???\n?1 Pasang Koi Galaxy\n?Male &amp";" Female\n?SIAP u/ di BREEDING\n?Size M + \n?100K\n?FREE,............????\n?? https://t.co/pMbG3l9MA7'"",-6.1803,106.8233";
"Destabillizers,Sat Aug 10 16:43:52 +0000 2019,""b'- Deal Aje - ???\n?1 Pasang Koi Galaxy\n?Male &amp";" Female\n?SIAP u/ di BREEDING\n?Size M + \n?100K\n?FREE,............????\n?? https://t.co/pZeMNlxBpu'"",-6.1803,106.8233";
"Destabillizers,Sat Aug 10 16:43:52 +0000 2019,""b'- Deal Aje - ???\n?1 Pasang Koi Galaxy\n?Male &amp";" Female\n?SIAP u/ di BREEDING\n?Size M + \n?100K\n?FREE,............????\n?? https://t.co/pZeMNlxBpu'"",-6.1803,106.8233";
ardhian_sjah,Sat Aug 10 16:39:35 +0000 2019,b'#Repost hanan_attakikajian (get_repost)\n???\n..\nMASIH KURANG ?\n.\nBarakallahu fiikum\nUstadz Hanan Attaki\n\nFollow ? ha? https://t.co/3Dqu4ETmZQ',-6.1803,106.8233;;
"mubarik63,Sat Aug 10 16:39:10 +0000 2019,""b'Malam ini GBK lebih bersih dari Bogor ? @ Jakarta, Indonesia https://t.co/dZcTJX8rlU'"",-6.1803,106.8233";;
"andoceria,Sat Aug 10 16:33:28 +0000 2019,""b'Baru saja mengirim foto @ Jakarta, Indonesia https://t.co/bLLsMJ5oAt'"",-6.1803,106.8233";;
