user,date,text,latitude,longitude;;
JLH062314,Sat Aug 10 23:55:48 +0000 2019,b'End of the night #selfie! Dont do many of these coz I hate them but decided to take one and post anyway as didnt ta? https://t.co/ylnOipAumc',51.50711486,-0.12731805;;
TKbrancoo,Sat Aug 10 23:55:29 +0000 2019,b'E.P Will Be Availible on the 20/08/19 Make Sure You check It Out and Let Me Know Your Thoughts #M3MB3RSONLY @ Londo? https://t.co/1ESKaMdf2x',51.50711486,-0.12731805;;
Amr1ta,Sat Aug 10 23:50:54 +0000 2019,b'My jumpsuit is better than yours ?\n\n#rockon #ohyes #outoutout #posing #smilingasalways #saturdayfun? https://t.co/KJtYaNdgyZ',51.50711486,-0.12731805;;
JudeSamuel_,Sat Aug 10 23:46:27 +0000 2019,b'Amazing Grading day. 16 black belts on the mat. 29 belts and an amazing amount of support and technical knowledge o? https://t.co/0se6o2tRM8',51.50711486,-0.12731805;;
KlevaKeys,Sat Aug 10 23:35:02 +0000 2019,b'REVIEW: Amateur At Play::: Out Now. #soulfulhouse #deephouse #afrohouse #classichouse #techhouse #djlife? https://t.co/HnorPuPCkf',51.50711486,-0.12731805;;
KingVvadi,Sat Aug 10 23:34:43 +0000 2019,b'BIG NEWS! SHARE &amp; TAG A FRIEND \n_________________________________\nHealing the Family Tree workshop\nComing to London? https://t.co/ZWK8doQzRX',51.50711486,-0.12731805;
"mikedixson,Sat Aug 10 23:30:41 +0000 2019,""b'My daughter has great taste #singledadlife @ London, United Kingdom https://t.co/m0IkF7HJ3d'"",51.50711486,-0.12731805";;
as_sahwa,Sat Aug 10 23:17:00 +0000 2019,b'Muslims are being oppressed...Ya Allah send a people that will liberate them??\n\n#kashmir #kashmirbleeds #syria? https://t.co/H6OqNtHlH7',51.50711486,-0.12731805;;
"The_Lauryn,Sat Aug 10 23:13:17 +0000 2019,""b'Dear husband, this anniversary you took Small house, and left me behind I?m not happy. Wife, small house forced me,? https://t.co/iFlvGplanV'"",51.50711486,-0.12731805";;
Lifestyleintuk,Sat Aug 10 23:10:49 +0000 2019,b'Luxury - Fashion -Compassion \nWow! what a great response for our Vegan ? &amp; Cruelty-Free ?bags? ?? and accessories ?? https://t.co/xbWzuOlY7O',51.50711486,-0.12731805;
JoaquinGoroso,Sat Aug 10 23:01:46 +0000 2019,b'Le hab?a pedido que me saque una foto a una persona que sab?a usar el retrato ? en Westminster Abbey https://t.co/uNjmG8NCzG',51.49974047,-0.12828507;;
drakyndra,Sat Aug 10 22:59:07 +0000 2019,b'Within about 4 hours of arriving in London I was in  theatre watching a show  which probably also says a few things? https://t.co/KKK0ud0ZNo',51.51363487,-0.12665135;;
"ClarkBoyd,Sat Aug 10 22:57:13 +0000 2019,""b'I returned home to find my muppet doppelganger splayed out on the floor, in a manner I can generously describe as """"? https://t.co/cs3Kbg9Ecy'"",51.50711486,-0.12731805";;
"OfficialJFowler,Sat Aug 10 22:56:18 +0000 2019,""b'??| Six @texastech Red Raiders walk into a bar in London.... @ London, United Kingdom https://t.co/Bt0WYOqIka'"",51.50711486,-0.12731805";;
"seijia2001,Sat Aug 10 22:54:02 +0000 2019,""b'????1?????????????????? (@ New China in Westminster, Greater London) https://t.co/Dx6EvTcLMf'"",51.51218089,-0.12982897";;
JakeTaylor,Sat Aug 10 22:53:43 +0000 2019,b'Been hanging around London Eye tonight. Very cool. #londoneye #bigwheel #london @ London Eye https://t.co/eubHBIdkGt',51.5028201,-0.1192523;;
HOKCareers,Sat Aug 10 22:46:10 +0000 2019,b'Interested in a job in #London? This could be a great fit: https://t.co/h6SKz4Ivd5 #Healthcare',51.5073509,-0.1277583;;
"AfroGlory_,Sat Aug 10 22:44:16 +0000 2019,""b""""That inner corner blue was the best idea I've had all year ?\n?\nUnedited! Take in the blackheads, tired under eyes a? https://t.co/yMrVQzC0bz"""""",51.50711486,-0.12731805";;
sidestreamworld,Sat Aug 10 22:43:59 +0000 2019,b'??? get in tune with the teenagemixtapepod as our folks from across the pond shoot the sh*t like good friends do!? https://t.co/hsu96k9MZh',51.50711486,-0.12731805;;
EpicEasty,Sat Aug 10 22:43:20 +0000 2019,b'All the years in @easportsfifa I?ve never seen this ??? \n.\n.\n.\n.\n#gamingroom #gamingsetup #twitchstreamer #twitch? https://t.co/PbTCmpy148',51.50711486,-0.12731805;;
JSMfitnessUK,Sat Aug 10 22:43:09 +0000 2019,b'When is not your #birthday but you might as well play along... #lol ? #dinner #restaurant #surprise #london #soho? https://t.co/IOJp45jLc6',51.513,-0.131;;
VsOfficialMusic,Sat Aug 10 22:41:07 +0000 2019,b'If I had lived in the 70s ? ?\n\n#70s #casting #movie #afro #earthwindandfire #flairs #onset #castingextras? https://t.co/MU9cgKzcJq',51.50711486,-0.12731805;;
"fabricofafrica1,Sat Aug 10 22:39:46 +0000 2019,""b'I absolutely love customers like this gentleman...He came, he saw and he bought another unique beautiful piece of a? https://t.co/b0wnYXJBAE'"",51.50711486,-0.12731805";;
AfroFuturAffair,Sat Aug 10 22:39:40 +0000 2019,b'Black Quantum Futurism ? Languid Hands: The Fullness of Time + H-E-L-L-O @icalondon \nA screening of Chicago-based f? https://t.co/xFGXxiRwjs',51.5066,-0.13061;;
JJsCraze,Sat Aug 10 22:39:18 +0000 2019,b'Favourite lip combo atm ??\nLiner hudabeauty #trendsetter\nLip bullet hudabeauty #interview\nLip strobe hudabeautyshop? https://t.co/gGpMvDcGTg',51.50711486,-0.12731805;;
"honsop,Sat Aug 10 22:38:41 +0000 2019,""b'She only went and did it. My gorgeous 5.5 year old niece, took part in her first international piano competition to? https://t.co/GhLLKKuCyT'"",51.50711486,-0.12731805";;
LucySpain,Sat Aug 10 22:35:04 +0000 2019,b'i wish to live a life where my soul jumps outside of my body // and once in a blue moon // i cheers another one @ L? https://t.co/amwmFR3e5w',51.50711486,-0.12731805;;
Lisajo_MUA,Sat Aug 10 22:34:28 +0000 2019,b'New blog up.. see link in bio ??have a read and let me what you think.. I always love to hear your thoughts x? https://t.co/r8tk1LTfvX',51.50711486,-0.12731805;;
aminyasminLtd,Sat Aug 10 22:33:59 +0000 2019,b'May your life be filled with happiness and your heart with peace and joy. Eid Mubarak to all our friends and suppor? https://t.co/MwuKAdBwck',51.50711486,-0.12731805;;
Charlene685,Sat Aug 10 22:33:37 +0000 2019,b'Ladies that brunch!! Happy Birthday Lady Laura @ladylaura_1_ @ 100 Wardour St https://t.co/4LU1Nn9sQZ',51.51359483,-0.13388221;;
"cpbishop,Sat Aug 10 22:31:05 +0000 2019,""b""""I'm at @SohoHouse in Soho, Greater London https://t.co/mYq8LIODLm"""""",51.51334447,-0.13060198";;
MandaKatarina,Sat Aug 10 22:27:46 +0000 2019,b'Blev pasta till middag idag!! @ Soho https://t.co/bb9jY4ZYmB',51.513,-0.131;;
"Shroq75,Sat Aug 10 22:26:49 +0000 2019,""b'????????????????????????..\n?????????????????????..?? @ London, United Kingdom https://t.co/XlHzTvTXya'"",51.50711486,-0.12731805";;
"seijia2001,Sat Aug 10 22:23:41 +0000 2019,""b'??????1????????????2????????????????? #20190810 (@ Er Mei (Empress of Sichuan) in London, Greater London) https://t.co/n8rHxxl1zA'"",51.51119762,-0.13125306";;
ISMAILBELGHIT,Sat Aug 10 22:20:17 +0000 2019,b'I Dance Robot\n----------------------------------\n?? Double Tap\n? djsnake @jbalvin @tyga\n??? Share It\n--------------? https://t.co/dl2RLMlKmL',51.50711486,-0.12731805;;
JSMfitnessUK,Sat Aug 10 22:20:16 +0000 2019,b'A #theatre #night in #London ? ?? ???????????????????????????\n.\n.\n.\n.\n.\n.\n.\n.\n.\n#film #movie #cinema #actor? https://t.co/6nvxjpRnzt',51.51451138,-0.12929455;;
"BritishIceDance,Sat Aug 10 22:19:33 +0000 2019,""b'When @_carlottamarie and @AlexDemetriou09 bring you treats to work ???. Thanks guys, so tasty! @candykittens? https://t.co/Zy0TvvSksz'"",51.50711486,-0.12731805";;
"BritishIceDance,Sat Aug 10 22:19:30 +0000 2019,""b'When @_carlottamarie and @AlexDemetriou09 bring you treats to work ???. Thanks guys, so tasty! @candykittens? https://t.co/xKOb2XzWTx'"",51.50711486,-0.12731805";;
"fsaalazmii,Sat Aug 10 22:17:04 +0000 2019,""b""""I'm at Piccadilly Circus in London, Greater London https://t.co/AboWnXuK7k"""""",51.5099611,-0.13465226";;
