user,date,text,latitude,longitude;;
RhiRhiPalmer,Sat Aug 10 17:59:00 +0000 2019,b'#westend @ Brasserie Z?del https://t.co/4M8WzSWSCv',51.51058029,-0.13581443;;
Elias_Jahshan,Sat Aug 10 17:57:48 +0000 2019,b'?I will never forget Palestine.? \n.\nThanks amro.tabari for the t-shirt! And for @AEvansMusic for the superior camer? https://t.co/Ek9I4DAe8O',51.50711486,-0.12731805;;
lou0305,Sat Aug 10 17:55:38 +0000 2019,b'?#princecharlescinema #westend @ Chinatown London https://t.co/Nl06N6L4fj',51.51157,-0.13165;;
"jHen_yUna,Sat Aug 10 17:51:54 +0000 2019,""b""""I don't think outside of the box";" I think of what I can do with the box ? Creativity is intelligence having fun ? @? https://t.co/4sYTZiJkiG"""""",51.51016737,-0.13404568";
lou0305,Sat Aug 10 17:50:43 +0000 2019,b'#worldsbestdumplings #warmwelcome ?#chinatown #westend ? @ Beijing Dumpling Chinese Restaurant https://t.co/sVo0VjCK5S',51.51171,-0.13016;;
"BdexEntz,Sat Aug 10 17:49:22 +0000 2019,""b'She start walking, bless her #kulture #cardib #cardi #offset \n\n#bdexentertainmentnews #bdexentertainmenttv? https://t.co/9vSSKkk2Xw'"",51.50711486,-0.12731805";;
NickLaBsPT,Sat Aug 10 17:48:21 +0000 2019,b'We are proper wasteful society. The amount of crap people leave in the gym is crazy. To me the weird thing is leavi? https://t.co/kEHXBVIMRC',51.50711486,-0.12731805;;
thewinecloud,Sat Aug 10 17:47:03 +0000 2019,b'Domaine Henri Gauges is reference in Nuits Saints George and unfortunately for myself  I haven?t taste enough wines? https://t.co/Sf1dXkOzVm',51.50711486,-0.12731805;;
"RetrospaceAndy,Sat Aug 10 17:46:56 +0000 2019,""b'All you need is #love #lovelane #tottenham #london #londontrip2019 @ London, United Kingdom https://t.co/AP7KxiJeER'"",51.50711486,-0.12731805";;
Jo_The_Waiter,Sat Aug 10 17:46:49 +0000 2019,b'Finally got frames for all my beautiful artwork by my very talented mate Baz Deadheaven \n\n#davidsylvian #mickkarn? https://t.co/zxbGfoXqfX',51.50711486,-0.12731805;;
IamMotiurTaj,Sat Aug 10 17:45:06 +0000 2019,b'Happy Eid-Ul-Adha to all that are celebrating. ? ? ? May this Eid brings all the happiness and successes you and yo? https://t.co/QGeXQ7o44J',51.50711486,-0.12731805;;
"TheLiteBrite,Sat Aug 10 17:44:43 +0000 2019,""b'#beer @ London, United Kingdom https://t.co/ecq8jl0ya9'"",51.50711486,-0.12731805";;
BdexEntz,Sat Aug 10 17:41:56 +0000 2019,b'@michaelblackson is in big trouble with 50cent and this will be more than @tyrese did to you.\n  #50cent? https://t.co/1SOLPl1EEy',51.50711486,-0.12731805;;
